"Note","Course","Module","Clip","Time in Clip","URL"
"There is no limit to nesting of objects it's unlimited ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Objects","5:36","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=4&mode=live&start=336.571959&noteid=fd2d147c-c91c-47d2-96f4-2143ba1333d6"
"All objects are not equal even if their values match. Only primitives can be matched.  ","JavaScript Fundamentals","The Building Blocks of JavaScript Programs","Equality","0:29","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-blocks&clip=5&mode=live&start=29.626223&noteid=a00c85c3-dd29-4392-9c06-1a15e376d1cb"
"functions are the best part of javascript ","JavaScript Fundamentals","Functions","Overview","0:21","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=0&mode=live&start=21.103701&noteid=c017ba9a-9ae2-41cf-9338-28046a593bf6"
"There a bunch of syntaxes while declaring functions. ","JavaScript Fundamentals","Functions","Overview","0:48","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=0&mode=live&start=48.250463&noteid=99397833-6898-40a0-b40d-566d585df790"
"Arguments object . Special variable. ","JavaScript Fundamentals","Functions","Overview","1:13","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=0&mode=live&start=73.788443&noteid=71c03520-609a-4dba-b372-7accf0c1c66d"
"Fucntions are just objects and they can be invoked\n\nways to declare functions \n\n//Standard \nfunction sqaure(x) \n{\nreturn x*x; \n} \n\n// assign to variable with name \nvar sqaure = function sqaure(x) \n{ \nreturn x*x;\n} \n// anonymous assin to variable \n\nvar square = function (x) \n{\nreturn x*x;\n} \n\nanonymous and call imidiately \n(function(x)\n{\nreturn x*x;\n})(2);","JavaScript Fundamentals","Functions","Meet the Function","0:17","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=1&mode=live&start=17.411363&noteid=f6a73eda-0bda-45b8-8fe0-d50090228b25"
"Invocation of functions \nlast parameter is ignored. There is no function OVERLOADING in JAVASCRIPT \nparameter flexibility is provided. IN JAVASCRIPT objects are passed by reference and primitives are passed by value\n","JavaScript Fundamentals","Functions","Invocation","0:02","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=2&mode=live&start=2.554305&noteid=fe240007-1e84-42ba-8625-7a06398790c6"
"Arguments variable is the coolest thing. By default there is an arguments parameter. If there are no parameters to the function then the arguments variable would read that and it would hold the values passed to that function \n\n","JavaScript Fundamentals","Functions","Arguments Object","1:18","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=3&mode=live&start=78.076448&noteid=d76610db-7065-4fdf-ae80-4a93d6216ccf"
"Recursion is supported in javascript , functions can call itself . It would be great to that , there should be an exit in the function . \n","JavaScript Fundamentals","Functions","Recursion","0:02","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=4&mode=live&start=2.590602&noteid=4308ed44-a7bd-402d-bae0-a723c8361703"
"Nesting is allowed in javascript . \nInner functions has access to outer scope variables. ","JavaScript Fundamentals","Functions","Closure","0:07","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-functions&clip=5&mode=live&start=7.107591&noteid=e143d530-3023-4018-a81f-21441b21c4ae"
"for...in statement \niterate over property key of an object \nfor(var propertyKey in tom) \n{ \nwrite(propertyKey) ;\nwrite(tom[propertyKey];\n} \n\nwhile(keepGoing) \n{ \nkeepGoing = false; \n} \n\n","JavaScript Fundamentals","Control Flow","Iteration","1:29","https://app.pluralsight.com/player?course=jscript-fundamentals&author=liam-mclennan&name=jscript-fundamentals-control-flow&clip=2&mode=live&start=89.332274&noteid=dde59992-54a5-4ce9-9f46-78ab7f6695b1"
